"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLERDUS","197301","0.378","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197302","0.385","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197303","0.389","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197304","0.394","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197305","0.395","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197306","0.4","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197307","0.398","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197308","0.398","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197309","0.408","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197310","0.419","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197311","0.44","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197312","0.455","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197313","0.405","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197401","0.514","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197402","0.569","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197403","0.608","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197404","0.64","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197405","0.659","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197406","0.697","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197407","0.729","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197408","0.773","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197409","0.791","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197410","0.808","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197411","0.902","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","197412","0.887","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
